"plate","state","license_type","summons_number","issue_date","violation_time","violation","judgment_entry_date","fine_amount","penalty_amount","interest_amount","reduction_amount","payment_amount","amount_due","precinct","county","issuing_agency","violation_status","summons_image"
"KSE6739","NY","PAS","9007712860","09/20/2022","09:51A","FAIL TO DSPLY MUNI METER RECPT",,"35","0","0","0","35","0","048","BX","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQmQwNTZZM2hOYW1jeVRVRTlQUT09&locationName=_____________________)"
"KEP8404","NY","PAS","8977598436","02/23/2022","10:08A","NO PARKING-DAY/TIME LIMITS",,"60","0","0","0","60","0","078","K","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck0wNTZWVFZQUkZGNlRtYzlQUT09&locationName=_____________________)"
"BK02428","CT","PAS","4842469286","05/22/2023","08:36A","PHTO SCHOOL ZN SPEED VIOLATION",,"50","25","0","0","75","0","000","BK","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1FMXFVVEpQVkVrMFRtYzlQUT09&locationName=_____________________)"
"P667JY","NY","PAS","8683189016","08/25/2020","12:49P","CROSSWALK",,"115","0","0","0","115","0","084","K","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWk5FMTZSVFJQVkVGNFRtYzlQUT09&locationName=_____________________)"
"GBS6941","NY","PAS","8683190420","08/30/2020","04:54P","NON-COMPLIANCE W/ POSTED SIGN",,"60","30","0","20","70","0","084","K","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWk5FMTZSVFZOUkZGNVRVRTlQUT09&locationName=_____________________)"
"JLS4911","NY","PAS","8991937974","11/01/2021","03:01P","REG. STICKER-EXPIRED/MISSING",,"65","0","0","0","65","0","077","K","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck5VMVVhM3BPZW1zelRrRTlQUT09&locationName=_____________________)"
"FJZ1653","NY","PAS","8864077753","12/14/2021","12:50P","NO PARKING-STREET CLEANING",,"65","0","0","0","65","0","078","K","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk1rNUVRVE5PZW1NeFRYYzlQUT09&locationName=_____________________)"
"L29PBX","NJ","PAS","8584868719","10/12/2022","03:27P","EXPIRED MUNI METER",,"35","0","0","0","35","0","094","K","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk5FNUVaekpQUkdONFQxRTlQUT09&locationName=_____________________)"
"JRS2845","NY","PAS","8683189120","08/25/2020","01:52P","FAIL TO DSPLY MUNI METER RECPT",,"35","0","0","0","35","0","084","K","TRAFFIC","HEARING HELD-GUILTY","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWk5FMTZSVFJQVkVWNVRVRTlQUT09&locationName=_____________________)"
"KYJ7838","NY","PAS","4811225132","11/07/2022","09:25P","PHTO SCHOOL ZN SPEED VIOLATION",,"50","0","0","0","50","0","000","QN","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbmVFMVVTWGxPVkVWNlRXYzlQUT09&locationName=_____________________)"
"KKL1863","NY","PAS","4811225181","11/07/2022","09:27P","PHTO SCHOOL ZN SPEED VIOLATION",,"50","0","0","0","50","0","000","QN","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbmVFMVVTWGxPVkVVMFRWRTlQUT09&locationName=_____________________)"
"KMR4731","NY","PAS","4842469316","05/22/2023","08:37A","PHTO SCHOOL ZN SPEED VIOLATION",,"50","25","0","0","75","0","000","QN","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1FMXFVVEpQVkUxNFRtYzlQUT09&locationName=_____________________)"
"GJZ3448","NY","PAS","9002457030","07/22/2022","11:27A","NO PARKING-STREET CLEANING",,"65","0","0","0","65","0","075","K","TRAFFIC","HEARING HELD-GUILTY","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQmQwMXFVVEZPZWtGNlRVRTlQUT09&locationName=_____________________)"
"A38KSD","NJ","PAS","8634771933","03/04/2021","03:44P","NO PARKING-DAY/TIME LIMITS",,"60","0","0","0","60","0","084","K","TRAFFIC","HEARING HELD-GUILTY","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmVrNUVZek5OVkd0NlRYYzlQUT09&locationName=_____________________)"
"HTL8153","NY","PAS","8562949395","09/22/2018","08:49A","INSP. STICKER-EXPIRED/MISSING","01/10/2019","65","60","46.79","0","171.79","0","103","Q","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk1rMXFhekJQVkUwMVRsRTlQUT09&locationName=_____________________)"
"HHV6079","NY","PAS","8977879218","02/24/2022","03:31P","NO PARKING-DAY/TIME LIMITS",,"60","0","0","0","60","0","067","K","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck0wNTZaek5QVkVsNFQwRTlQUT09&locationName=_____________________)"
"KHA6336","NY","PAS","8978240112","02/23/2022","01:49P","FAIL TO DSPLY MUNI METER RECPT",,"35","0","0","35","0","0","061","K","TRAFFIC","HEARING HELD-NOT GUILTY","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck0wOUVTVEJOUkVWNFRXYzlQUT09&locationName=_____________________)"
"KMJ1367","NY","PAS","8955303403","01/27/2022","09:41A","NO PARKING-STREET CLEANING",,"65","0","0","0","65","0","019","NY","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck1VNVVUWGROZWxGM1RYYzlQUT09&locationName=_____________________)"
"3155314","IN","PAS","8913902450","03/03/2021","06:21A","DOUBLE PARKING",,"115","0","0","0","115","0","013","NY","TRAFFIC","HEARING HELD-GUILTY","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmVFMTZhM2ROYWxFeFRVRTlQUT09&locationName=_____________________)"
"HVD4601","NY","PAS","8634770990","10/20/2020","04:02P","NO STANDING-DAY/TIME LIMITS",,"115","0","0","0","115","0","076","K","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmVrNUVZek5OUkdzMVRVRTlQUT09&locationName=_____________________)"
"EMR8899","NY","PAS","8864077893","12/14/2021","02:06P","FAIL TO DSPLY MUNI METER RECPT",,"35","0","0","0","35","0","078","K","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk1rNUVRVE5PZW1jMVRYYzlQUT09&locationName=_____________________)"
"GVE9047","NY","PAS","8864077820","12/14/2021","01:26P","INSP. STICKER-EXPIRED/MISSING",,"65","0","0","0","65","0","078","K","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk1rNUVRVE5PZW1kNVRVRTlQUT09&locationName=_____________________)"
"KDC7081","NY","PAS","8989186754","08/26/2021","11:30A","NO PARKING-STREET CLEANING",,"65","10","0","10","65","0","075","K","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck5FOVVSVFJPYW1NeFRrRTlQUT09&locationName=_____________________)"
"KNR6815","NY","PAS","8584869694","10/18/2022","02:04P","FAIL TO DSPLY MUNI METER RECPT",,"35","0","0","0","35","0","090","K","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk5FNUVaekpQVkZrMVRrRTlQUT09&locationName=_____________________)"
"S57PWW","NJ","PAS","8935890911","11/23/2022","03:35P","NO PARKING-DAY/TIME LIMITS",,"65","30","0","0","95","0","010","NY","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmVrNVVaelZOUkd0NFRWRTlQUT09&locationName=_____________________)"
"KSP7002","NY","PAS","8864077900","12/14/2021","02:08P","FAIL TO DSPLY MUNI METER RECPT",,"35","0","0","0","35","0","078","K","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk1rNUVRVE5PZW10M1RVRTlQUT09&locationName=_____________________)"
"JPC5447","NY","PAS","8864077819","12/14/2021","01:12P","REG. STICKER-EXPIRED/MISSING",,"65","0","0","0","65","0","078","K","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk1rNUVRVE5PZW1kNFQxRTlQUT09&locationName=_____________________)"
"HXX1827","NY","PAS","9021774318","12/12/2022","01:09P","NO PARKING-DAY/TIME LIMITS",,"60","30","0","0","90","0","108","Q","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQmVVMVVZek5PUkUxNFQwRTlQUT09&locationName=_____________________)"
"GFV7514","NY","PAS","4811225247","11/07/2022","09:32P","PHTO SCHOOL ZN SPEED VIOLATION","02/02/2023","50","25","1.23","0.02","76.21","0","000","BK","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbmVFMVVTWGxPVkVrd1RuYzlQUT09&locationName=_____________________)"
"HZU1256","NY","PAS","8567839427","11/30/2022","07:10A","NO PARKING-DAY/TIME LIMITS","04/27/2023","60","60","0.39","0.12","120.27","0","045","BX","TRAFFIC","HEARING HELD-GUILTY","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk1rNTZaM3BQVkZGNVRuYzlQUT09&locationName=_____________________)"
"KDU6500","NY","PAS","8683192817","09/29/2020","03:44P","FIRE HYDRANT",,"115","0","0","0","115","0","084","K","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWk5FMTZSVFZOYW1kNFRuYzlQUT09&locationName=_____________________)"
"LJX7974","NY","PAS","9113644099","03/14/2024","07:30A","NO STANDING-EXC. TRUCK LOADING",,"95","0","0","0","95","0","109","Q","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFMTZXVEJPUkVFMVQxRTlQUT09&locationName=_____________________)"
"FJG9517","NY","PAS","1381008884","04/23/2015",,,,,,,,,,,,,,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSTk5FMVVRWGRQUkdjMFRrRTlQUT09&locationName=_____________________)"
"HSZ6851","NY","PAS","8995162673","06/17/2021","11:57A","NO PARKING-STREET CLEANING",,"65","0","0","0","65","0","094","K","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck5VNVVSVEpOYWxrelRYYzlQUT09&locationName=_____________________)"
"72BD58","NY","LMB","8683192659","09/28/2020","05:15P","NO STANDING-EXC. TRUCK LOADING",,"95","0","0","95","0","0","084","K","TRAFFIC","HEARING HELD-NOT GUILTY","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWk5FMTZSVFZOYWxreFQxRTlQUT09&locationName=_____________________)"
"KYD5730","NY","PAS","9007714090","09/29/2022","09:00A","FIRE HYDRANT",,"115","0","0","0","115","0","047","BX","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQmQwNTZZM2hPUkVFMVRVRTlQUT09&locationName=_____________________)"
"KJA9943","NY","PAS","9085879723","11/02/2023","11:45A","INSP. STICKER-EXPIRED/MISSING","02/22/2024","65","60","0.18","0.12","125.06","0","067","K","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQk5FNVVaek5QVkdONVRYYzlQUT09&locationName=_____________________)"
"97823MK","NY","COM","8955505127","02/02/2022","11:30A","FAIL TO DSPLY MUNI METER RECPT",,"65","0","0","25","40","0","019","NY","TRAFFIC","HEARING HELD-GUILTY REDUCTION","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck1VNVVWWGRPVkVWNVRuYzlQUT09&locationName=_____________________)"
"FYS7273","NY","PAS","8956007895","04/10/2021","09:51P","FIRE HYDRANT",,"115","0","0","0","115","0","032","NY","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck1VNXFRWGRPZW1jMVRsRTlQUT09&locationName=_____________________)"
"T684092C","NY","OMT","8956041027","12/03/2021","09:25P","NO STANDING-EXC. TRUCK LOADING",,"95","0","0","0","95","0","009","NY","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck1VNXFRVEJOVkVGNVRuYzlQUT09&locationName=_____________________)"
"JFY5692","NY","PAS","8956043670","12/18/2021","07:46P","SAFETY ZONE",,"115","0","0","0","115","0","030","NY","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck1VNXFRVEJOZWxrelRVRTlQUT09&locationName=_____________________)"
"K26PGC","NJ","PAS","8956045458","01/12/2022","09:36P","FIRE HYDRANT",,"115","0","0","0","115","0","030","NY","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck1VNXFRVEJPVkZFeFQwRTlQUT09&locationName=_____________________)"
"KKE5172","NY","PAS","8994572806","08/18/2021","02:15P","NO STANDING-DAY/TIME LIMITS",,"115","0","0","0","115","0","079","K","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck5VNUVWVE5OYW1kM1RtYzlQUT09&locationName=_____________________)"
"T796874C","NY","OMT","8864079830","12/21/2021","12:24P","NO PARKING-STREET CLEANING",,"65","0","0","0","65","0","078","K","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk1rNUVRVE5QVkdkNlRVRTlQUT09&locationName=_____________________)"
"KRM6828","NY","PAS","4842469330","05/22/2023","08:37A","PHTO SCHOOL ZN SPEED VIOLATION",,"50","0","0","0","50","0","000","ST","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1FMXFVVEpQVkUxNlRVRTlQUT09&locationName=_____________________)"
"DUJ6757","NY","PAS","8244025130","09/30/2016",,,,,,,,,,,,,,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1FNUVRWGxPVkVWNlRVRTlQUT09&locationName=_____________________)"
"KPY6687","NY","PAS","9064421729","07/06/2023","02:45P","REG. STICKER-EXPIRED/MISSING",,"65","0","0","0","65","0","106","Q","TRAFFIC","HEARING HELD-GUILTY","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQk1rNUVVWGxOVkdONVQxRTlQUT09&locationName=_____________________)"
"JRY6971","NY","PAS","8823980938","04/27/2022","08:36A","NO PARKING-STREET CLEANING","08/11/2022","65","60","0.15","0.09","125.06","0","007","NY","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmVVMTZhelJOUkd0NlQwRTlQUT09&locationName=_____________________)"
"93969NB","NY","COM","9081494314","09/27/2023","01:17P","NO PARKING-DAY/TIME LIMITS",,"65","0","0","0","65","0","001","NY","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQk5FMVVVVFZPUkUxNFRrRTlQUT09&locationName=_____________________)"
"HCA6045","NY","PAS","8864078885","12/17/2021","12:11P","REG. STICKER-EXPIRED/MISSING",,"65","0","0","0","65","0","078","K","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk1rNUVRVE5QUkdjMFRsRTlQUT09&locationName=_____________________)"
"KHX8644","NY","PAS","8956048836","02/16/2022","08:26P","FIRE HYDRANT",,"115","0","0","0","115","0","030","NY","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck1VNXFRVEJQUkdkNlRtYzlQUT09&locationName=_____________________)"
"DDG4495","NY","PAS","8956049579","02/18/2022","08:56P","FAIL TO DSPLY MUNI METER RECPT",,"35","0","0","0","35","0","024","NY","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck1VNXFRVEJQVkZVelQxRTlQUT09&locationName=_____________________)"
"C95LBN","NJ","PAS","8956163741","05/06/2021","10:07P","FIRE HYDRANT",,"115","0","0","0","115","0","034","NY","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck1VNXFSVEpOZW1Nd1RWRTlQUT09&locationName=_____________________)"
"HXX7059","NY","PAS","8957665663","01/20/2022","12:10P","FAIL TO DSPLY MUNI METER RECPT",,"35","0","0","35","0","0","112","Q","TRAFFIC","HEARING HELD-NOT GUILTY","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck1VNTZXVEpPVkZreVRYYzlQUT09&locationName=_____________________)"
"JRB4784","NY","PAS","8994102061","03/22/2021","02:28P","INSP. STICKER-EXPIRED/MISSING",,"65","0","0","0","65","0","083","K","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck5VNUVSWGROYWtFeVRWRTlQUT09&locationName=_____________________)"
"JSC6236","NY","PAS","8958978272","07/08/2021","07:51A","INSP. STICKER-EXPIRED/MISSING",,"65","0","0","0","65","0","048","BX","TRAFFIC","HEARING HELD-GUILTY","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck1VOUVhek5QUkVrelRXYzlQUT09&locationName=_____________________)"
"JLM2643","NY","PAS","8995163800","06/22/2021","12:13P","NON-COMPLIANCE W/ POSTED SIGN",,"60","0","0","0","60","0","094","K","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck5VNVVSVEpOZW1kM1RVRTlQUT09&locationName=_____________________)"
"KLN7849","NY","PAS","8994572995","08/18/2021","04:10P","NO STANDING-EXC. TRUCK LOADING",,"95","0","0","0","95","0","079","K","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck5VNUVWVE5OYW1zMVRsRTlQUT09&locationName=_____________________)"
"DJM4019","NY","PAS","8994573021","08/18/2021","04:23P","NO STANDING-BUS STOP",,"115","0","0","0","115","0","079","K","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck5VNUVWVE5OZWtGNVRWRTlQUT09&locationName=_____________________)"
"JAG4543","NY","PAS","8991938188","11/02/2021","02:29P","INSP. STICKER-EXPIRED/MISSING",,"65","0","0","0","65","0","083","K","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck5VMVVhM3BQUkVVMFQwRTlQUT09&locationName=_____________________)"
"KKP8637","NY","PAS","8991938073","11/02/2021","01:12P","INSP. STICKER-EXPIRED/MISSING",,"65","0","0","0","65","0","083","K","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck5VMVVhM3BQUkVFelRYYzlQUT09&locationName=_____________________)"
"KPY6687","NY","PAS","9064421730","07/06/2023","02:46P","INSP. STICKER-EXPIRED/MISSING",,"65","0","0","0","65","0","106","Q","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQk1rNUVVWGxOVkdONlRVRTlQUT09&locationName=_____________________)"
"KJL6303","NY","PAS","4842469341","05/22/2023","08:37A","PHTO SCHOOL ZN SPEED VIOLATION",,"50","25","0","0","75","0","000","MN","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1FMXFVVEpQVkUwd1RWRTlQUT09&locationName=_____________________)"
"KKT1478","NY","PAS","8995164335","06/24/2021","11:41A","FRONT OR BACK PLATE MISSING",,"65","0","0","0","65","0","094","K","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck5VNVVSVEpPUkUxNlRsRTlQUT09&locationName=_____________________)"
"HHUJ62","FL","PAS","8994573136","08/19/2021","03:15P","NO STANDING-EXC. TRUCK LOADING",,"95","0","0","0","95","0","075","K","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck5VNUVWVE5OZWtWNlRtYzlQUT09&locationName=_____________________)"
"GPR1851","NY","PAS","4842469511","05/22/2023","08:41A","PHTO SCHOOL ZN SPEED VIOLATION",,"50","0","0","0","50","0","000","BX","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1FMXFVVEpQVkZWNFRWRTlQUT09&locationName=_____________________)"
"DIZZIDEE","NY","SRF","8994573215","08/19/2021","03:44P","ANGLE PARKING",,"45","0","0","0","45","0","075","K","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck5VNUVWVE5OZWtsNFRsRTlQUT09&locationName=_____________________)"
"GVA8579","NY","PAS","8865938201","01/26/2022","11:10A","NO PARKING-STREET CLEANING",,"65","0","0","0","65","0","108","Q","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk1rNVVhM3BQUkVsM1RWRTlQUT09&locationName=_____________________)"
"22766MM","NY","COM","9058181315","06/21/2023","12:52P","NO STANDING-BUS STOP",,"115","0","0","0","115","0","028","NY","TRAFFIC","HEARING HELD-GUILTY","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQk1VOUVSVFJOVkUxNFRsRTlQUT09&locationName=_____________________)"
"FHN6725","NY","PAS","8864080119","12/21/2021","03:08P","EXPIRED MUNI METER",,"35","0","0","0","35","0","078","K","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk1rNUVRVFJOUkVWNFQxRTlQUT09&locationName=_____________________)"
"KZV7986","NY","PAS","9072419250","08/22/2023","05:57P","NO STANDING-BUS STOP",,"115","0","0","0","115","0","081","K","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQk0wMXFVWGhQVkVreFRVRTlQUT09&locationName=_____________________)"
"KFP1858","NY","PAS","8995164815","06/29/2021","12:10P","NO PARKING-STREET CLEANING",,"65","0","0","0","65","0","094","K","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck5VNVVSVEpPUkdkNFRsRTlQUT09&locationName=_____________________)"
"DFTS57","FL","PAS","8995164426","06/24/2021","11:50A","NO PARKING-STREET CLEANING",,"65","0","0","0","65","0","094","K","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck5VNVVSVEpPUkZGNVRtYzlQUT09&locationName=_____________________)"
"3CK8969","MD","PAS","8995164529","06/24/2021","12:02P","NO PARKING-STREET CLEANING",,"65","0","0","0","65","0","094","K","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck5VNVVSVEpPUkZWNVQxRTlQUT09&locationName=_____________________)"
"KSD4314","NY","PAS","4842469523","05/22/2023","08:41A","PHTO SCHOOL ZN SPEED VIOLATION",,"50","0","0","0","50","0","000","ST","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1FMXFVVEpQVkZWNVRYYzlQUT09&locationName=_____________________)"
"KES4941","NY","PAS","9002457893","07/23/2022","04:11P","NO STANDING-BUS STOP",,"115","10","0","0","125","0","060","K","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQmQwMXFVVEZPZW1jMVRYYzlQUT09&locationName=_____________________)"
"BF90793","CT","PAS","9058181388","06/21/2023","01:17P","NO PARKING-DAY/TIME LIMITS",,"60","0","0","0","60","0","032","NY","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQk1VOUVSVFJOVkUwMFQwRTlQUT09&locationName=_____________________)"
"759DDE","NY","SPO","9021775967","12/03/2022","06:03A","FRONT OR BACK PLATE MISSING",,"65","30","0","0","95","0","108","Q","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQmVVMVVZek5PVkdzeVRuYzlQUT09&locationName=_____________________)"
"KMX5263","NY","PAS","9081494387","09/27/2023","01:43P","REG. STICKER-EXPIRED/MISSING",,"65","0","0","0","65","0","001","NY","TRAFFIC","HEARING HELD-GUILTY","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQk5FMVVVVFZPUkUwMFRuYzlQUT09&locationName=_____________________)"
"LED3740","NY","PAS","9089646486","11/06/2023","03:03P","DOUBLE PARKING",,"115","10","0","0","125","0","034","NY","TRAFFIC","HEARING HELD-GUILTY","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQk5FOVVXVEJPYWxFMFRtYzlQUT09&locationName=_____________________)"
"QBQB76","FL","PAS","9081494351","09/27/2023","01:34P","NO STANDING-EXC. TRUCK LOADING",,"95","0","0","0","95","0","001","NY","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQk5FMVVVVFZPUkUweFRWRTlQUT09&locationName=_____________________)"
"GTB2873","NY","PAS","9113644166","03/14/2024","08:50A","NO PARKING-STREET CLEANING",,"65","0","0","0","65","0","109","Q","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFMTZXVEJPUkVVeVRtYzlQUT09&locationName=_____________________)"
"HXV8299","NY","PAS","8995165133","06/30/2021","02:43P","NO STANDING-BUS STOP",,"115","0","0","0","115","0","094","K","TRAFFIC","HEARING HELD-GUILTY","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck5VNVVSVEpPVkVWNlRYYzlQUT09&locationName=_____________________)"
"23371635","GA","PAS","8542168501","06/06/2018",,,,,,,,,,,,,,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk1FMXFSVEpQUkZWM1RWRTlQUT09&locationName=_____________________)"
"BLF3440","NY","PAS","8542170295","06/16/2018",,,,,,,,,,,,,,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk1FMXFSVE5OUkVrMVRsRTlQUT09&locationName=_____________________)"
"KZG2701","NY","PAS","4842469791","05/22/2023","08:46A","PHTO SCHOOL ZN SPEED VIOLATION","08/17/2023","50","25","1.15","0.07","76.08","0","000","BK","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1FMXFVVEpQVkdNMVRWRTlQUT09&locationName=_____________________)"
